,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
361,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,2kYevr8cbIAH2ha8210Bnz,spotify:track:2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/tracks/2kYevr8cbIAH2ha8210Bnz,https://api.spotify.com/v1/audio-analysis/2kYevr8cbIAH2ha8210Bnz,229627,4
362,0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008,audio_features,51vRumtqbkNW9wrKfESwfu,spotify:track:51vRumtqbkNW9wrKfESwfu,https://api.spotify.com/v1/tracks/51vRumtqbkNW9wrKfESwfu,https://api.spotify.com/v1/audio-analysis/51vRumtqbkNW9wrKfESwfu,182149,4
363,0.706,0.675,1,-6.351,0,0.237,0.177,0.0,0.0852,0.516,159.961,audio_features,5OLcsBO28uWHMzS0EEeZNp,spotify:track:5OLcsBO28uWHMzS0EEeZNp,https://api.spotify.com/v1/tracks/5OLcsBO28uWHMzS0EEeZNp,https://api.spotify.com/v1/audio-analysis/5OLcsBO28uWHMzS0EEeZNp,188596,4
364,0.553,0.587,5,-6.829,1,0.0277,0.345,0.1,0.256,0.346,90.018,audio_features,2Jw3VjB1xy5KHBqEeAC6VK,spotify:track:2Jw3VjB1xy5KHBqEeAC6VK,https://api.spotify.com/v1/tracks/2Jw3VjB1xy5KHBqEeAC6VK,https://api.spotify.com/v1/audio-analysis/2Jw3VjB1xy5KHBqEeAC6VK,242293,4
365,0.722,0.588,8,-6.027,1,0.038,0.0527,0.0,0.455,0.636,87.876,audio_features,2lqHosXoRrzxh42th6Mi7a,spotify:track:2lqHosXoRrzxh42th6Mi7a,https://api.spotify.com/v1/tracks/2lqHosXoRrzxh42th6Mi7a,https://api.spotify.com/v1/audio-analysis/2lqHosXoRrzxh42th6Mi7a,160752,4
366,0.795,0.55,7,-5.704,0,0.0882,0.123,0.0,0.0873,0.152,119.975,audio_features,48rsYvIQXUAtxcmIoStOaM,spotify:track:48rsYvIQXUAtxcmIoStOaM,https://api.spotify.com/v1/tracks/48rsYvIQXUAtxcmIoStOaM,https://api.spotify.com/v1/audio-analysis/48rsYvIQXUAtxcmIoStOaM,131493,4
367,0.423,0.887,1,-2.97,1,0.0537,0.0362,0.0,0.243,0.892,169.975,audio_features,5owS9iWWGd6mDlFjUFzBsw,spotify:track:5owS9iWWGd6mDlFjUFzBsw,https://api.spotify.com/v1/tracks/5owS9iWWGd6mDlFjUFzBsw,https://api.spotify.com/v1/audio-analysis/5owS9iWWGd6mDlFjUFzBsw,169293,4
368,0.532,0.896,8,-4.356,1,0.184,0.00869,0.0,0.106,0.479,150.06,audio_features,5KyOUICJIvO0z71MBdPGiX,spotify:track:5KyOUICJIvO0z71MBdPGiX,https://api.spotify.com/v1/tracks/5KyOUICJIvO0z71MBdPGiX,https://api.spotify.com/v1/audio-analysis/5KyOUICJIvO0z71MBdPGiX,187311,4
369,0.575,0.5,1,-7.594,0,0.0707,0.227,0.0,0.335,0.506,67.033,audio_features,4W4fNrZYkobj539TOWsLO2,spotify:track:4W4fNrZYkobj539TOWsLO2,https://api.spotify.com/v1/tracks/4W4fNrZYkobj539TOWsLO2,https://api.spotify.com/v1/audio-analysis/4W4fNrZYkobj539TOWsLO2,232857,4
370,0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,audio_features,22dUzMFttcR3uU17NcOAIv,spotify:track:22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/tracks/22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/audio-analysis/22dUzMFttcR3uU17NcOAIv,179162,4
371,0.544,0.826,1,-3.848,1,0.0288,0.0631,1.46e-05,0.113,0.596,142.029,audio_features,2ewSCWOL7EAjgmgqfI1UlS,spotify:track:2ewSCWOL7EAjgmgqfI1UlS,https://api.spotify.com/v1/tracks/2ewSCWOL7EAjgmgqfI1UlS,https://api.spotify.com/v1/audio-analysis/2ewSCWOL7EAjgmgqfI1UlS,205579,4
