,artist_name,track_name,track_id,popularity
69,Travis Scott,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),4GL9GMX9t7Qkprvf1YighZ,87
70,d4vd,Here With Me,5LrN7yUQAzvthd4QujgPFr,92
71,Peso Pluma,LAGUNAS,3HOKxuTDmNVmIlCIpBiD8m,89
72,Morgan Wallen,Cowgirls (feat. ERNEST),7fveJ3pk1eSfxBdVkzdXZ0,82
73,Jelly Roll,Need A Favor,5twSy6ffBrF03mnNUsUgJZ,82
74,Zach Bryan,Dawns (feat. Maggie Rogers),42TtHTxWk782ZBiqyOi2d1,83
75,Peso Pluma,LUNA,3RA55zrRkyPK8Fd86hrMy8,88
76,Dave,Sprinter,2FDTHlrBguDzQkp7PVj16Q,96
77,El Alfa,PLEBADA,7uSLF2yhpjLlYBLtyPX3Lb,86
78,Megan Moroney,Tennessee Orange,6DLbBlGIOjjEj0dNN25zhZ,82
79,Young Thug,Oh U Went (feat. Drake),7qLr3HMApUbyDkUvgIvHnB,84
80,Doechii,What It Is (Solo Version),73RbfOTJIjHzi2pcVHjeHM,90
81,Anuel AA,Baby,5iDNf2uMgRzmQpcmGAzOUk,87
82,Jason Aldean,Try That In A Small Town,4ROknQyR1wOGPfmpTtB3z4,81
83,Jung Kook,Seven (feat. Latto) (Clean Ver.),5Avril3IZ26DPVFHbJX8o6,94
84,Doja Cat,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,88
85,Feid,Classy 101,6XSqqQIy7Lm7SnwxS4NrGx,95
86,Tyler Childers,In Your Love,1olWQ1LOUYs4VBwx5N8Lz9,81
87,KAROL G,TQG,0DWdj2oZMBFSzRsi2Cvfzf,93
88,Lana Del Rey,Say Yes To Heaven,6GGtHZgBycCgGBUhZo81xe,91
89,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,0FA4wrjDJvJTTU8AepZTup,86
90,Morgan Wallen,Thought You Should Know,3Qu3Zh4WTKhP9GEXo0aDnb,81
91,Metro Boomin,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",39MK3d3fonIP8Mz9oHCTBB,87
92,Travis Scott,LOOOVE (feat. Kid Cudi),0a4SMs889NwP8oWI7Vemle,86
93,Taylor Swift,Better Than Revenge (Taylor's Version),0NwGC0v03ysCYINtg6ns58,87
94,Metro Boomin,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",6Ec5LeRzkisa5KJtwLfOoW,88
95,Travis Scott,LOST FOREVER (feat. Westside Gunn),7EiUtdeoWcKqLi5ELZCjYf,86
96,Taylor Swift,Sparks Fly (Taylor’s Version),3MytWN8L7shNYzGl4tAKRp,86
97,That Mexican OT,Johnny Dang (with Paul Wall & DRODi),1kwPxt35W7cG3rryxR48PO,81
98,Old Dominion,Memory Lane,5kB6WithhB8Iv08EMNmAbt,81
99,NewJeans,ETA,56v8WEnGzLByGsDAXDiv4d,89
100,NewJeans,Cool With You,02wk5BttM0QL38ERjLPQJB,89
101,Ice Spice,Princess Diana (with Nicki Minaj),0ZxhtATQ0a6EvQNZ0z6NKV,85
102,Morgan Wallen,One Thing At A Time,1rXq0uoV4KTgRN64jXzIxo,81
103,Odetari,GOOD LOYAL THOTS,06tNJ27nVxbDwhiQMChWyr,86
104,Metro Boomin,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),0AAMnNeIc6CdnfNU85GwCH,86
105,Miley Cyrus,Flowers,4DHcnVTT87F0zZhRPYmZ3B,92
106,Tyler Hubbard,Dancin’ In The Country,2KtGiBi5CrX2ERPD2PAS34,81
107,Kali Uchis,Moonlight,0JmnkIqdlnUzPaf8sqBRs3,86
108,HARDY,TRUCK BED,103u49mLoJUge83B1CnLxI,80
109,Peso Pluma,PRC,2mpoNBkngUEwnaKoBhZ0vl,88
